category,state,2001_recession_b,2001_recession_intercept,2008_recession_b,2008_recession_intercept,all_recession_b,all_recession_intercept
AlcoholicBeveragesSales,WI,0.3940636284060385,-0.0020797383587073774,-0.08003686288037229,0.0170834274331724,-0.024854736593640382,0.021387137785455423
AlcoholicBeveragesSales,WV,0.024842722042404026,-0.0011387650802866475,-2.1141088977911444,0.8136906437537333,-1.5172863036779352,0.4762175135321744
AlcoholicBeveragesSales,WY,-18.895005339103527,-4.30906574516849,5.513343479805843,-5.941728260262188,3.741954149463897,-5.228978041401903
AmusementsSales,AK,,,,,,
AmusementsSales,AL,,,,,,
AmusementsSales,AR,,,,,,
AmusementsSales,AZ,,,,,,
AmusementsSales,CA,,,,,,
AmusementsSales,CO,,,,,,
AmusementsSales,CT,,,,,,
AmusementsSales,DC,,,,,,
AmusementsSales,DE,,,,,,
AmusementsSales,FL,,,,,,
AmusementsSales,GA,,,,,,
AmusementsSales,HI,,,,,,
AmusementsSales,IA,,,,,,
AmusementsSales,ID,,,,,,
AmusementsSales,IL,,,,,,
AmusementsSales,IN,,,,,,
AmusementsSales,KS,,,,,,
AmusementsSales,KY,,,,,,
AmusementsSales,LA,,,,,,
AmusementsSales,MA,,,,,,
AmusementsSales,MD,,,,,,
AmusementsSales,ME,,,,,,
AmusementsSales,MI,,,,,,
AmusementsSales,MN,,,,,,
AmusementsSales,MO,,,,,,
AmusementsSales,MS,,,,,,
AmusementsSales,MT,,,,,,
AmusementsSales,NC,,,,,,
AmusementsSales,ND,,,,,,
AmusementsSales,NE,,,,,,
AmusementsSales,NH,,,,,,
AmusementsSales,NJ,,,,,,
AmusementsSales,NM,,,,,,
AmusementsSales,NV,,,,,,
AmusementsSales,NY,,,,,,
AmusementsSales,OH,,,,,,
AmusementsSales,OK,,,,,,
AmusementsSales,OR,,,,,,
AmusementsSales,PA,,,,,,
AmusementsSales,RI,,,,,,
AmusementsSales,SC,,,,,,
AmusementsSales,SD,,,,,,
AmusementsSales,TN,,,,,,
AmusementsSales,TX,,,,,,
AmusementsSales,US,,,,,,
AmusementsSales,UT,,,,,,
AmusementsSales,VA,,,,,,
AmusementsSales,VT,,,,,,
AmusementsSales,WA,,,,,,
AmusementsSales,WI,,,,,,
AmusementsSales,WV,,,,,,
AmusementsSales,WY,,,,,,
CorporationNetIncome,AK,-1.1860375552573061,0.005709492697746375,-7.2745142828280684,0.7604576714136939,-7.112110822434818,0.5327075876566907
CorporationNetIncome,AL,1.152590198754505,0.027660301011742577,-0.02394948856981425,-0.010285136310594582,0.042319914258113205,0.017528314179365893
CorporationNetIncome,AR,-2.014792704710018,0.10572186938854994,0.34425885960155694,0.026552772582412253,-0.08718345589653957,0.03320937532379822
CorporationNetIncome,AZ,-1.2333152755824406,0.052589375012500036,-0.7955899251795838,0.08804088218377648,-0.8672180851266567,0.07054253251030553
CorporationNetIncome,CA,-1.2777589911455558,0.08763010333692733,0.46298097183132486,-0.058109614330763476,0.0213277926395818,-0.003290455506185631
CorporationNetIncome,CO,-0.32688830741838165,0.009856363247262027,-0.9284112251930329,0.1078136664476464,-0.6111509304028826,0.06920355466691568
CorporationNetIncome,CT,1.1621784445639902,0.036671926843483194,-1.2216172859741838,0.14226762356760353,0.4955485009604803,0.06152286592115303
CorporationNetIncome,DC,2.5005379495864926,-0.06342150903519901,-0.9118914899835724,0.13210752366138356,-0.39674969815031974,0.07242495664748239
CorporationNetIncome,DE,-2.2557862949343988,0.03640955602121686,-0.524661972244275,0.1262493382531383,-0.740257079315667,0.08577135164678971
CorporationNetIncome,FL,-0.6379888524316004,0.07753619601419151,-0.3744061312100907,0.025385560328811264,-0.48026008880625654,0.049050907274715394
CorporationNetIncome,GA,0.03669122079730083,-0.05140582839079402,-0.7560832361660214,0.05137789716584706,-0.4982291853748428,0.0074415106217825926
CorporationNetIncome,HI,15.512934180154215,1.8264264988944636,-4.018913010020755,0.9128580411045486,-0.5747549206185221,1.02171424160201
CorporationNetIncome,IA,-132.7632237704528,19.27551394968989,-0.953981910128462,0.08093658818985466,-8.790977161824753,3.5258189885760385
CorporationNetIncome,ID,0.7204998203471583,0.04892269080649539,-0.16299050620531932,0.045700818932279105,-0.15612541103325916,0.05516468423220514
CorporationNetIncome,IL,-1.1312264683812494,-0.0010444922777016752,-0.3074892653212856,0.06339297959369164,-0.41843233877971653,0.024001180892729842
CorporationNetIncome,IN,-0.1384798082719616,-0.025172784969059225,-0.2904684159423437,0.02900223488175634,-0.2568868650565818,0.0100905133727128
CorporationNetIncome,KS,-3.8264499841478354,0.26620526378391135,-0.9305941279385821,0.04386821207052799,-1.2374421301990506,0.06231786825470913
CorporationNetIncome,KY,-0.9748031070327592,0.04913661965229496,-0.2457163577214832,-0.019626871025653976,-0.3480743831667483,-0.0031960071231323696
CorporationNetIncome,LA,3.2748144619335444,0.019999974566967324,-5.483779877414322,1.3266494550828831,-3.0273037679861363,0.8130085461874067
CorporationNetIncome,MA,-0.6309632686600719,0.07167146802539065,-0.3730231095719357,0.02826598181842152,-0.4671417894439819,0.04084011290228288
CorporationNetIncome,MD,-1.1185449650657442,0.1300801500334693,-0.026424185107751366,0.05638169232822523,-0.2152647867694289,0.07952075282545759
CorporationNetIncome,ME,0.639715698769968,-0.08257835744421183,-0.6851291602125434,0.06558671698367219,-0.3812099290318655,0.01616559047864378
CorporationNetIncome,MI,-0.28754088067396455,-0.0034624669836399932,-0.1925384953023379,-0.03422226725605458,-0.19380004417073848,-0.026212903807018895
CorporationNetIncome,MN,-0.2776632207344877,-0.005035628493038711,-0.6219855574213652,0.03275846591736525,-0.5749918933501021,0.025814944977455824
CorporationNetIncome,MO,0.34559723873867376,-0.03669885365977989,-0.7810453936765823,0.06593723764475608,-0.5165158748928005,0.048651637404614465
CorporationNetIncome,MS,-2.0413068998632955,0.12010546179387191,-0.5247787316433673,0.03320549193167043,-1.1426554329845582,0.07412426886183891
CorporationNetIncome,MT,-0.8996385802090847,-0.03634755339515679,-0.027007218343031637,0.017949777871729546,-0.011259118435458763,-0.002484629724372253
CorporationNetIncome,NC,-0.4331285330251141,0.01593292687970223,-0.34803311081392135,0.0489447820737479,-0.37661695821707175,0.035033967700624585
CorporationNetIncome,ND,0.006685447160887082,-0.049700623951427284,-1.555205576157147,0.10061757520526689,-1.0630331319836206,0.052210397653459126
CorporationNetIncome,NE,-0.930309889725811,0.095174327790182,-0.5499302278696495,0.043888308278914774,-0.5785321920284769,0.05791874065524064
CorporationNetIncome,NH,-0.1589832077753868,0.060098815119368175,-0.2344059993074802,0.007441000992286106,-0.19534253332937426,0.028074667358453164
CorporationNetIncome,NJ,-0.335685134174776,0.13342060064938588,-0.434049524441781,0.015708616762866796,-0.4280954234628452,0.06407560001873802
CorporationNetIncome,NM,2.482596284569783,0.033741855593323426,-1.678390409397343,0.2805376803054084,-1.3989723939084773,0.20646106307967577
CorporationNetIncome,NV,,,,,,
CorporationNetIncome,NY,-0.8882312113595928,0.006838978401666869,-0.36510462034822133,0.024511368583916785,-0.5642586315768903,0.019517479753619282
CorporationNetIncome,OH,0.29845552832903505,0.09012628645729825,1.6328317299593242,0.12614211232844225,1.1711108633810963,0.10025507063428107
CorporationNetIncome,OK,0.1450158192718335,-0.05963109414719294,-0.46963438479622643,0.07552998300565929,-0.363471498121718,0.03603465215557067
CorporationNetIncome,OR,-2.1664673851725547,0.1865462806697577,-0.99227411864889,0.11616279105085561,-1.1823493567206325,0.12415168422268853
CorporationNetIncome,PA,-1.3091073221912346,0.03132951140267273,-0.5152851904373662,0.026476974015956327,-0.6319565489317995,0.021218899923643883
CorporationNetIncome,RI,-1.6013416349872525,0.20001182910728488,-0.8144429344804963,0.08641161131172695,-0.9470419324868254,0.12762727808117164
CorporationNetIncome,SC,0.27095718800107793,0.03311174567214836,-0.4105152004747955,0.0502949860935208,-0.21630384774540476,0.05383091738562804
CorporationNetIncome,SD,-0.1977783495997075,0.07917966644885424,-1.717579717767428,0.2223490993069114,-1.509723383097433,0.18875333861087729
CorporationNetIncome,TN,-0.6435206452028227,0.06309085858472915,-0.4895553219760112,0.04678376733845703,-0.5288764394565818,0.051479284774251316
CorporationNetIncome,TX,,,,,,
CorporationNetIncome,US,,,,,,
CorporationNetIncome,UT,-0.8841351894646515,0.07353370789069888,-0.6374757411548735,0.08624708514430249,-0.6585243197233036,0.07525741751493452
CorporationNetIncome,VA,-0.38839460122441627,0.0228446816827252,-0.4451520072018443,0.03711857579155236,-0.4162123317807081,0.03109753427103563
CorporationNetIncome,VT,-1.420342827328895,0.13680434669077973,0.1262091962331742,0.030175948001782096,-0.07559413935668137,0.04179872424557552
CorporationNetIncome,WA,,,,,,
CorporationNetIncome,WI,-1.2941771736410541,0.12615049256993893,-0.3079465304334156,0.02331115157657032,-0.3966102867742278,0.03765297526251105
CorporationNetIncome,WV,0.03097431321746167,-0.019901672783527922,0.17912109139783006,-0.04806493293889485,0.14996433481142057,-0.03623925474066282
CorporationNetIncome,WY,,,,,,
CorporationsinGeneralLicense,AK,9.807129015687968,-1.1602811388711562,2.334125384612208,0.20229431187125593,1.2768149789631629,-0.22730089000864379
CorporationsinGeneralLicense,AL,2.8933045551233656,-0.2789300268367363,-0.006948470805086488,0.0307711340682106,0.30229772664159743,-0.06907392619814406
CorporationsinGeneralLicense,AR,-0.5573613654066221,0.12925977159369076,0.05488341121500917,0.01273734432383858,-0.03532096144733806,0.05146753763346342
CorporationsinGeneralLicense,AZ,-13.019125126435753,3.905921993946242,6.25840462067211,-1.6739293114765808,0.8473821544947858,0.5204846648236567
CorporationsinGeneralLicense,CA,64.88337187190106,2.7146583046054342,-0.017712916724406676,-0.010816595252740986,11.114654199211733,1.4959507230266804
CorporationsinGeneralLicense,CO,-0.40971007733011633,0.22018918611284688,-3.6754003034371774,0.5320234154204866,-1.8315116381715684,0.3990545005195577
CorporationsinGeneralLicense,CT,0.380995370394496,-0.030472602583601856,-0.042571339975512414,0.06075484474686784,0.21700878445615537,0.021435619703760348
CorporationsinGeneralLicense,DC,-293.8476275569583,-55.37501346603351,-2.678824849338029,-2.28730392043232,-10.422000431298926,-26.098500672532715
CorporationsinGeneralLicense,DE,-0.7040442453104678,0.05231863920893934,-0.08503077547582986,-0.004462232169767039,-0.21700454927532425,0.01928936049029011
CorporationsinGeneralLicense,FL,0.18195393768756205,-0.04928711322340314,-0.005690210941217048,0.03778399384350868,0.09403900225106575,-0.0006961588295632719
CorporationsinGeneralLicense,GA,0.5676850011972647,0.008758459317482668,-0.8316241952829491,0.051636620099579596,-0.4474161639932697,0.03279134203243976
CorporationsinGeneralLicense,HI,3.7719311656801873,-0.11062320720232484,-0.4795140338288931,-1.6153712851611206,-0.9812181346283436,-1.0111169478982647
CorporationsinGeneralLicense,IA,-0.354992167663925,0.04880084277584629,-0.4322686792321864,0.009933485736393972,-0.37460779809293976,0.024754081847756116
CorporationsinGeneralLicense,ID,,,,,,
CorporationsinGeneralLicense,IL,0.33651629268071764,-0.0012862305800656962,0.24793772742472933,0.027081810941095574,0.2633828840863374,0.01713888314654032
CorporationsinGeneralLicense,IN,-0.16267867429498326,0.16263429459570902,-0.9350989699752932,0.3124481020709031,-0.7429333512290356,0.2644488629903447
CorporationsinGeneralLicense,KS,-0.6827289926396035,0.1756986287748942,1.199029793435662,-0.19783219886562367,1.2540752816521588,-0.1074885514323407
CorporationsinGeneralLicense,KY,-0.05541421408930413,-0.046456253327721,0.484758116967046,0.16815868997744465,0.3580701914091106,0.07786109569809269
CorporationsinGeneralLicense,LA,0.9530813939949813,-0.057331392847913165,-9.118323089938,0.49782009027656,-6.908546731021189,0.3067323968762565
CorporationsinGeneralLicense,MA,-0.0020120298753915126,0.013394003993041935,0.3662176499015504,0.048534513250645374,0.13661338248800145,0.033744176312395825
CorporationsinGeneralLicense,MD,5.261072366422266,-0.3526688451999029,-0.1267370134785414,0.041197230855095024,0.815896323707091,-0.0854822335460068
CorporationsinGeneralLicense,ME,-1.2902930193125606,0.1630676250679574,0.23859232748269385,0.08040607822086927,-0.10466119922140171,0.10222667658701158
CorporationsinGeneralLicense,MI,-1.816561566001064,0.13607074242991116,-0.061392202279469794,-0.0006173896654321008,-0.43363138660170114,-0.00016445501745862914
CorporationsinGeneralLicense,MN,0.9906836878536464,0.1664598438972381,0.43710180777333224,0.025206361207631166,0.6954231898036708,0.08437838718936036
CorporationsinGeneralLicense,MO,19.37339436315895,-2.989944524471813,0.029232781394394513,0.07486255416311327,3.467511516665178,-0.6735581989758987
CorporationsinGeneralLicense,MS,1.4489207081936664,0.7222627910446188,-0.4848914746573007,0.032616177481417985,0.004322088814797469,0.30509451651071495
CorporationsinGeneralLicense,MT,-61.86071985107794,3.5460799522443027,-3.310603287589838,-0.16404167864959757,-12.189100192059726,1.715396369538897
CorporationsinGeneralLicense,NC,7.4664638493475755,0.6636513078585112,0.3437270002675381,0.021864429627294794,2.249400247823278,0.387740305151864
CorporationsinGeneralLicense,ND,,,,,,
CorporationsinGeneralLicense,NE,-0.10339099388039295,0.040308932811802325,-70.95865817674007,7.449055440939359,-63.963727226877346,5.623612534091407
CorporationsinGeneralLicense,NH,0.033571244121439914,0.10436077210145213,-0.2837677585581907,0.15279007194026173,-0.1918543987067598,0.1371073094281828
CorporationsinGeneralLicense,NJ,-0.4920312108313073,0.15246388577819522,-0.15415679030097734,-0.019619218163720427,-0.2882592474693544,0.0495406106632412
CorporationsinGeneralLicense,NM,-9.051249828335461,0.9319738271101834,0.3976737815390627,0.428282435141188,-0.20485894018163903,0.5726993763863333
CorporationsinGeneralLicense,NV,0.8035070060770272,0.08005312020108969,-0.144751224290326,0.011689504410520073,-0.061075412185196847,0.04590535585454936
CorporationsinGeneralLicense,NY,3.1615574945882874,-0.05324787946524856,1.6541081228189136,-0.10899992424533783,2.2261745505245187,-0.09259949097544462
CorporationsinGeneralLicense,OH,-1.5259817831129254,0.2619928294062225,-0.004999976520609614,0.1621915665414676,-0.48201659734845786,0.1860683540615142
CorporationsinGeneralLicense,OK,0.278737248716663,-0.02770367689637391,0.10813041458702059,0.027054665847198803,0.1289156872631774,0.009734792732116514
CorporationsinGeneralLicense,OR,-0.272759365758584,-1.1061519393528376,-0.19632998519598585,0.1533964300381968,-0.3089683822459972,-0.3387423346257889
CorporationsinGeneralLicense,PA,-1.4356386923752864,0.028357906682778523,-0.6130127935643938,0.032740347436520906,-0.7307319149275261,0.02341718842197753
CorporationsinGeneralLicense,RI,1.2819241397062735,-0.1399268151521307,0.32642218427390807,-0.020742488908063877,0.4694741109807331,-0.06230855293683786
CorporationsinGeneralLicense,SC,0.7140868191302938,0.05126109959628468,-0.11779528219236926,0.07845653679186006,0.11673467393060474,0.08046644793846722
CorporationsinGeneralLicense,SD,,,,,,
CorporationsinGeneralLicense,TN,-0.3897369728254527,0.13119896659811442,-0.4298424909377137,0.049942633398323805,-0.40674108942765996,0.08173793684248638
CorporationsinGeneralLicense,TX,0.2510901264904438,-0.020809210943245053,-0.7756739136527399,2.416693410648692,-0.9686032949905189,1.4848400095505332
CorporationsinGeneralLicense,US,,,,,,
CorporationsinGeneralLicense,UT,,,,,,
CorporationsinGeneralLicense,VA,-0.18552159261332654,0.07671155731609706,-0.15707818833453246,0.018510183132100066,-0.1691401659648193,0.041504865985392006
CorporationsinGeneralLicense,VT,1.1886568292112012,0.14137432827710195,-0.013387722503763284,0.009218216142147472,0.336185689506151,0.07685004665201374
CorporationsinGeneralLicense,WA,0.03923956469797695,0.03852618442189424,-0.023542302539649614,0.024746713362723133,-0.014585908789182627,0.031126508962374497
CorporationsinGeneralLicense,WI,1.8637289525191179,-0.23918548075535415,-0.2246684653258484,0.023617205739368166,-0.05560174407879853,-0.023410528407108246
CorporationsinGeneralLicense,WV,2.5287134330136185,0.15342483112444363,-0.5568616673508937,0.14452151505207358,-0.20612420124323236,0.14144520287956128
CorporationsinGeneralLicense,WY,3.540105158134089,0.11574087536451053,0.13665412677799527,0.03168864345609447,0.23864245597152206,0.0611406369500161
DeathandGift,AK,,,,,,
DeathandGift,AL,,,,,,
DeathandGift,AR,,,,,,
DeathandGift,AZ,,,,,,
DeathandGift,CA,,,,,,
DeathandGift,CO,,,,,,
DeathandGift,CT,,,,,,
DeathandGift,DC,,,,,,
DeathandGift,DE,,,,,,
DeathandGift,FL,,,,,,
DeathandGift,GA,,,,,,
DeathandGift,HI,,,,,,
DeathandGift,IA,,,,,,
DeathandGift,ID,,,,,,
DeathandGift,IL,,,,,,
DeathandGift,IN,,,,,,
DeathandGift,KS,,,,,,
DeathandGift,KY,,,,,,
DeathandGift,LA,,,,,,
DeathandGift,MA,,,,,,
DeathandGift,MD,,,,,,
DeathandGift,ME,,,,,,
DeathandGift,MI,,,,,,
DeathandGift,MN,,,,,,
DeathandGift,MO,,,,,,
DeathandGift,MS,,,,,,
DeathandGift,MT,,,,,,
DeathandGift,NC,,,,,,
DeathandGift,ND,,,,,,
DeathandGift,NE,,,,,,
DeathandGift,NH,,,,,,
DeathandGift,NJ,,,,,,
DeathandGift,NM,,,,,,
DeathandGift,NV,,,,,,
DeathandGift,NY,,,,,,
DeathandGift,OH,,,,,,
DeathandGift,OK,,,,,,
DeathandGift,OR,,,,,,
DeathandGift,PA,,,,,,
DeathandGift,RI,,,,,,
DeathandGift,SC,,,,,,
DeathandGift,SD,,,,,,
DeathandGift,TN,,,,,,
DeathandGift,TX,,,,,,
DeathandGift,US,,,,,,
DeathandGift,UT,,,,,,
DeathandGift,VA,,,,,,
DeathandGift,VT,,,,,,
DeathandGift,WA,,,,,,
DeathandGift,WI,,,,,,
DeathandGift,WV,,,,,,
DeathandGift,WY,,,,,,
HuntingandFishingLicense,AK,-1.6717440623775603,0.1349972213014487,0.15479457730267165,-0.018008449792717693,-0.10543791548781589,0.0250600599327995
HuntingandFishingLicense,AL,1.1297075807172008,-0.04579667113468008,0.5230583950401659,0.006942466049255712,0.5833873254900759,-0.008913316855941596
HuntingandFishingLicense,AR,-0.028693499850780395,0.01301515017579464,0.1661045397638462,-0.004546255417828554,0.13297862835562826,0.00025363651398948705
HuntingandFishingLicense,AZ,-0.8647788242638785,0.1748441656980833,-0.06866958507883104,0.010795732732951268,-0.27115354899563837,0.07385592857154957
HuntingandFishingLicense,CA,-0.29725959108314814,0.030380438133472312,-0.06608328893451008,0.016068874647276823,-0.12143938686014215,0.021154413660213724
