Level: State and Local
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R04) Gen Rev-Own Sources
Minnesota,2010,$       57410235,$       35748058
Minnesota,2011,$       63654150,$       38190729
Minnesota,2012,$       56335857,$       39031488
Minnesota,2013,$       65560197,$       42021154
Minnesota,2014,$       67486617,$       42434983
Minnesota,2015,$       66048761,$       44818262
Minnesota,2016,$       63851206,$       46253441
Minnesota,2017,$       73380700,$       46813547
Mississippi,1993,$       10194405,$        6225178
Mississippi,1994,$       10831092,$        6726316
Mississippi,1995,$       11671583,$        7372947
Mississippi,1996,$       12515784,$        7883700
Mississippi,1997,$       13235364,$        8256183
Mississippi,1998,$       14643152,$        8922761
Mississippi,1999,$       14973344,$        9585009
Mississippi,2000,$       16672469,$       10061883
Mississippi,2002,$       15905116,$       10667364
Mississippi,2004,$       20669806,$       11271882
Mississippi,2005,$       21113251,$       11793511
Mississippi,2006,$       23983717,$       12832386
Mississippi,2007,$       29535523,$       14054618
Mississippi,2008,$       23524206,$       14839383
Mississippi,2009,$       21758969,$       14803697
Mississippi,2010,$       28690347,$       14954642
Mississippi,2011,$       31498562,$       15493906
Mississippi,2012,$       26757575,$       15850232
Mississippi,2013,$       30030775,$       16549216
Mississippi,2014,$       31131322,$       16942535
Mississippi,2015,$       29436598,$       17617753
Mississippi,2016,$       29456966,$       17910571
Mississippi,2017,$       32785230,$       18113785
Missouri,1993,$       19507596,$       12563868
Missouri,1994,$       20696520,$       13554422
Missouri,1995,$       23907556,$       15645944
Missouri,1996,$       25646826,$       16208412
Missouri,1997,$       25918781,$       17445270
Missouri,1998,$       29107251,$       18546100
Missouri,1999,$       29960309,$       19569354
Missouri,2000,$       31635209,$       20276622
Missouri,2002,$       30620582,$       21733074
Missouri,2004,$       39922830,$       23854105
Missouri,2005,$       41339990,$       25367538
Missouri,2006,$       44199877,$       26867231
Missouri,2007,$       49611741,$       28752023
Missouri,2008,$       41965289,$       29627811
Missouri,2009,$       33520704,$       29449930
Missouri,2010,$       51592206,$       28847500
Missouri,2011,$       57153642,$       29856755
Missouri,2012,$       48932262,$       30909378
Missouri,2013,$       55289960,$       31527521
Missouri,2014,$       58210724,$       31763629
Missouri,2015,$       53926206,$       33443043
Missouri,2016,$       52638452,$       34317633
Missouri,2017,$       61102534,$       35619298
Montana,1993,$        3911082,$        2425168
Montana,1994,$        4125763,$        2540403
Montana,1995,$        4356404,$        2691786
Montana,1996,$        4504559,$        2758055
Montana,1997,$        4770140,$        3017338
Montana,1998,$        4960173,$        3110752
Montana,1999,$        5133612,$        3204724
Montana,2000,$        5642920,$        3550564
Montana,2002,$        5510513,$        3531689
Montana,2004,$        6985271,$        3810573
Montana,2005,$        7438360,$        4241731
Montana,2006,$        8019721,$        4698128
Montana,2007,$        9160780,$        5098002
Montana,2008,$        8515325,$        5379606
Montana,2009,$        7158599,$        5597954
Montana,2010,$        9783778,$        5466606
Montana,2011,$       10281267,$        5321472
Montana,2012,$        9196570,$        5437813
Montana,2013,$       10342381,$        5566443
Montana,2014,$       10758733,$        5712340
Montana,2015,$        9965767,$        5968841
Montana,2016,$        9628358,$        5811957
Montana,2017,$       11839307,$        5961591
Nebraska,1993,$        7927462,$        4944773
Nebraska,1994,$        8715644,$        5373046
Nebraska,1995,$        9209166,$        5698112
Nebraska,1996,$        9898376,$        6148569
Nebraska,1997,$       10767394,$        6610352
Nebraska,1998,$       10970564,$        6598944
Nebraska,1999,$       10946839,$        6755887
Nebraska,2000,$       11650469,$        7310291
Nebraska,2002,$       12030515,$        7847901
Nebraska,2004,$       15510744,$        9165089
Nebraska,2005,$       15904872,$        9614752
Nebraska,2006,$       16979550,$       10262897
Nebraska,2007,$       18213532,$       10636142
Nebraska,2008,$       17098639,$       11044258
Nebraska,2009,$       15857919,$       11120319
Nebraska,2010,$       20120741,$       11296667
Nebraska,2011,$       21852260,$       11754887
Nebraska,2012,$       20465954,$       12091084
Nebraska,2013,$       22773517,$       12814141
Nebraska,2014,$       23894512,$       13360347
Nebraska,2015,$       23204450,$       13975420
Nebraska,2016,$       22686088,$       13917065
Nebraska,2017,$       24562552,$       14256237
Nevada,1993,$        6704436,$        4516977
Nevada,1994,$        7247990,$        4940537
Nevada,1995,$        8235817,$        5564097
Nevada,1996,$        9124119,$        6094911
Nevada,1997,$       10105496,$        6692541
Nevada,1998,$       11177754,$        7028192
Nevada,1999,$       11720856,$        7579183
Nevada,2000,$       11885072,$        8359152
Nevada,2002,$       12809362,$        9784738
Nevada,2004,$       16894724,$       11354504
Nevada,2005,$       18953181,$       13134124
Nevada,2006,$       20363376,$       14185186
Nevada,2007,$       23198414,$       15362478
Nevada,2008,$       19991120,$       15787488
Nevada,2009,$       16943782,$       14905422
Nevada,2010,$       22837869,$       14422610
Nevada,2011,$       25944382,$       14515827
Nevada,2012,$       21896058,$       14829446
Nevada,2013,$       25469945,$       15389369
Nevada,2014,$       26862851,$       15540486
Nevada,2015,$       25296262,$       16254846
Nevada,2016,$       26301713,$       17181928
Nevada,2017,$       31492876,$       18213038
Arizona,1993,$       17769040,$       11298848
Arizona,1994,$       18940662,$       12077873
Arizona,1995,$       20314103,$       13042232
Arizona,1996,$       20786929,$       13709374
Arizona,1997,$       22290022,$       14277597
Arizona,1998,$       26119257,$       15182232
Arizona,1999,$       25714279,$       17005429
Arizona,2000,$       27777897,$       18388044
Arizona,2002,$       30083389,$       19804935
Arizona,2004,$       38387677,$       22607567
Arizona,2005,$       41056844,$       25320626
Arizona,2006,$       46860817,$       29023737
Arizona,2007,$       51243463,$       32460090
Arizona,2008,$       47110986,$       32573139
Arizona,2009,$       42569515,$       29970348
Arizona,2010,$       54098791,$       28983582
Arizona,2011,$       58588756,$       30780149
Arizona,2012,$       51485552,$       32037692
Arizona,2013,$       57888262,$       33554672
Arizona,2014,$       59764108,$       33167478
Arizona,2015,$       56825852,$       33110685
Arizona,2016,$       59058409,$       35554441
Arizona,2017,$       67173041,$       36811606
New Hampshire,1993,$        4719662,$        3518034
New Hampshire,1994,$        4945690,$        3507776
New Hampshire,1995,$        5198066,$        3692958
New Hampshire,1996,$        5588661,$        3758334
New Hampshire,1997,$        5686127,$        3963659
New Hampshire,1998,$        6172107,$        4149944
New Hampshire,1999,$        6454092,$        4438155
New Hampshire,2000,$        6948035,$        4692436
New Hampshire,2002,$        6728627,$        5109904
New Hampshire,2004,$        8275269,$        5439893
New Hampshire,2005,$        8910504,$        6074726
New Hampshire,2006,$        9379379,$        6438997
New Hampshire,2007,$       10358201,$        6859862
New Hampshire,2008,$        9662074,$        7180163
New Hampshire,2009,$        9122124,$        7264548
New Hampshire,2010,$       11580781,$        7512609
New Hampshire,2011,$       12160459,$        7610053
New Hampshire,2012,$       10925621,$        7627356
New Hampshire,2013,$       12670502,$        8432102
New Hampshire,2014,$       12737631,$        8251247
New Hampshire,2015,$       12445892,$        8698902
New Hampshire,2016,$       12702773,$        8903171
New Hampshire,2017,$       14111242,$        9202200
New Jersey,1993,$       44530768,$       32012354
New Jersey,1994,$       45674798,$       34037144
New Jersey,1995,$       49566097,$       35454341
New Jersey,1996,$       53661289,$       36981272
New Jersey,1997,$       53545218,$       37418345
New Jersey,1998,$       56498366,$       40563102
New Jersey,1999,$       59121498,$       41618712
New Jersey,2000,$       62331238,$       43621774
New Jersey,2002,$       54835385,$       46306696
New Jersey,2004,$       75527008,$       51873469
New Jersey,2005,$       79125811,$       57125242
New Jersey,2006,$       85471684,$       61703592
New Jersey,2007,$       95272919,$       66830389
New Jersey,2008,$       85940600,$       69819148
New Jersey,2009,$       75279085,$       67675595
New Jersey,2010,$       99750649,$       67458565
New Jersey,2011,$      105234452,$       69641336
New Jersey,2012,$       94575250,$       70474346
New Jersey,2013,$      106530965,$       73639702
New Jersey,2014,$      110775877,$       75451480
New Jersey,2015,$      106468656,$       77720061
New Jersey,2016,$      103801977,$       78564512
New Jersey,2017,$      116472607,$       81880236
New Mexico,1993,$        7624003,$        5142599
New Mexico,1994,$        8213714,$        5628383
New Mexico,1995,$        8560452,$        5837243
New Mexico,1996,$       10146764,$        6160469
New Mexico,1997,$       10338783,$        6708269
New Mexico,1998,$       11482897,$        7225988
New Mexico,1999,$       11237878,$        7063073
New Mexico,2000,$       13072685,$        7663508
New Mexico,2002,$       11503161,$        7744141
New Mexico,2004,$       14953000,$        8703711
New Mexico,2005,$       16656449,$        9756580
New Mexico,2006,$       18464469,$       11287269
New Mexico,2007,$       20947908,$       11870579
New Mexico,2008,$       16464549,$       12258387
New Mexico,2009,$       14181255,$       11966912
New Mexico,2010,$       21997665,$       11157013
New Mexico,2011,$       24276636,$       12069062
New Mexico,2012,$       20049199,$       12781710
New Mexico,2013,$       22698430,$       12714410
New Mexico,2014,$       24949690,$       13890332
New Mexico,2015,$       24177457,$       14330182
New Mexico,2016,$       23439253,$       13121506
New Mexico,2017,$       26067476,$       13731768
New York,1993,$      130612845,$       87186299
New York,1994,$      135265834,$       90892115
New York,1995,$      146884633,$       93850873
New York,1996,$      154432311,$       97207284
New York,1997,$      159681528,$      102010262
New York,1998,$      171132768,$      105529221
New York,1999,$      172300918,$      108665365
New York,2000,$      188906822,$      114652517
New York,2002,$      170981866,$      119355529
New York,2004,$      226415448,$      135671680
New York,2005,$      234689174,$      148551861
New York,2006,$      266105088,$      165568524
New York,2007,$      291019128,$      177465735
New York,2008,$      242109608,$      184055101
New York,2009,$      176161601,$      182904905
New York,2010,$      313781388,$      182862766
New York,2011,$      324444663,$      191457773
New York,2012,$      295740009,$      202794094
New York,2013,$      335360069,$      208051903
New York,2014,$      363429555,$      217378256
New York,2015,$      337829812,$      227501502
New York,2016,$      326701288,$      230661024
New York,2017,$      379650173,$      229796033
North Carolina,1993,$       29218237,$       18968234
North Carolina,1994,$       31708488,$       20596127
North Carolina,1995,$       34080322,$       22640019
North Carolina,1996,$       35884723,$       24064236
North Carolina,1997,$       39041769,$       26047845
North Carolina,1998,$       47529360,$       28601010
North Carolina,1999,$       49072731,$       29858022
North Carolina,2000,$       50541785,$       32080095
North Carolina,2002,$       48596900,$       33924004
North Carolina,2004,$       63458302,$       36858352
North Carolina,2005,$       64813231,$       39817041
North Carolina,2006,$       68226097,$       44707389
North Carolina,2007,$       75790767,$       48816376
North Carolina,2008,$       76986215,$       50250611
North Carolina,2009,$       58107542,$       49113680
North Carolina,2010,$       86699023,$       51141782
North Carolina,2011,$       93936852,$       53784661
North Carolina,2012,$       83134361,$       52857914
North Carolina,2013,$       91172335,$       54433161
North Carolina,2014,$       96212647,$       56727309
North Carolina,2015,$       91423378,$       60033633
North Carolina,2016,$       92593783,$       62104364
North Carolina,2017,$      103561803,$       64557797
North Dakota,1993,$        2954828,$        1952530
North Dakota,1994,$        3080824,$        2022882
North Dakota,1995,$        3276238,$        2165379
North Dakota,1996,$        3439102,$        2238334
North Dakota,1997,$        3789522,$        2462238
North Dakota,1998,$        4204752,$        2539408
North Dakota,1999,$        4091314,$        2601074
North Dakota,2000,$        4495196,$        2788303
North Dakota,2002,$        4226558,$        2837897
North Dakota,2004,$        6530004,$        3039540
North Dakota,2005,$        5239270,$        3275113
North Dakota,2006,$        5772036,$        3643802
North Dakota,2007,$        6323331,$        4015018
North Dakota,2008,$        6577426,$        4815744
North Dakota,2009,$        6009151,$        5009387
