Level: State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:Total (thousands), Nominal,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Year,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
United States,2006,"$1,205,666,632 ","$364,558,999 ","$841,107,633 ","$417,734,525 ","$285,829,129 ","$131,905,396 ","$5,353,816 ","$6,062,142 ","$15,275,055 ","$36,979,404 ","$301,870 ","$25,498,019 ","$15,005,828 ","$27,429,262 ","$61,506,991 ","$507,853 ","$7,516,733 ","$22,584,319 ","$20,486,599 ","$2,097,720 ","$30,898,086 ","$321,747,880 ","$268,667,132 ","$53,080,748 ","$5,090,687 ","$35,027,550 "
United States,2007,"$1,283,262,933 ","$388,701,384 ","$894,561,549 ","$440,331,138 ","$300,462,837 ","$139,868,301 ","$5,606,480 ","$6,627,731 ","$16,108,511 ","$37,849,041 ","$293,298 ","$27,123,218 ","$15,828,437 ","$30,431,585 ","$63,721,691 ","$619,417 ","$8,617,161 ","$23,197,347 ","$21,045,202 ","$2,152,145 ","$31,287,766 ","$350,904,354 ","$290,278,113 ","$60,626,241 ","$5,118,279 ","$34,486,087 "
United States,2008,"$1,329,598,803 ","$409,539,657 ","$920,059,146 ","$449,944,957 ","$304,739,498 ","$145,205,459 ","$5,748,447 ","$7,173,747 ","$16,489,834 ","$38,960,918 ","$281,941 ","$28,098,883 ","$16,583,060 ","$31,868,629 ","$65,978,268 ","$605,724 ","$10,480,250 ","$23,379,962 ","$21,197,442 ","$2,182,520 ","$31,512,332 ","$362,132,967 ","$304,902,076 ","$57,230,891 ","$5,349,697 ","$36,653,257 "
United States,2009,"$1,282,156,133 ","$434,818,264 ","$847,337,869 ","$434,128,330 ","$291,300,296 ","$142,828,034 ","$5,885,424 ","$7,019,283 ","$15,727,718 ","$37,823,608 ","$215,571 ","$28,664,824 ","$17,162,063 ","$30,329,543 ","$64,356,905 ","$582,691 ","$10,239,983 ","$23,453,307 ","$21,249,225 ","$2,204,082 ","$30,080,924 ","$317,221,382 ","$270,941,521 ","$46,279,861 ","$4,919,680 ","$26,711,572 "
United States,2010,"$1,278,846,635 ","$443,947,292 ","$834,899,343 ","$435,570,729 ","$288,499,186 ","$147,071,543 ","$6,021,465 ","$7,049,733 ","$16,530,984 ","$37,922,286 ","$183,629 ","$28,486,519 ","$17,302,708 ","$33,574,219 ","$64,614,156 ","$604,102 ","$9,945,203 ","$24,931,873 ","$22,458,803 ","$2,473,070 ","$29,132,978 ","$305,618,269 ","$261,510,473 ","$44,107,796 ","$4,153,376 ","$24,942,813 "
United States,2011,"$1,344,169,594 ","$445,771,236 ","$898,398,358 ","$463,979,488 ","$304,668,034 ","$159,311,454 ","$6,236,852 ","$7,231,386 ","$17,125,581 ","$41,187,374 ","$168,988 ","$28,835,197 ","$17,664,904 ","$40,861,172 ","$66,317,275 ","$605,166 ","$10,066,433 ","$25,716,974 ","$23,191,249 ","$2,525,725 ","$29,928,702 ","$333,715,041 ","$285,293,135 ","$48,421,906 ","$4,810,811 ","$29,575,743 "
United States,2012,"$1,387,984,790 ","$445,853,993 ","$942,130,797 ","$482,172,208 ","$321,233,576 ","$160,938,632 ","$6,503,540 ","$7,422,054 ","$17,425,648 ","$41,423,336 ","$168,734 ","$28,818,286 ","$17,604,538 ","$41,572,496 ","$65,421,870 ","$632,162 ","$6,853,594 ","$27,242,832 ","$24,631,275 ","$2,611,557 ","$30,693,282 ","$356,774,084 ","$307,897,362 ","$48,876,722 ","$4,869,968 ","$32,892,667 "
United States,2013,"$1,455,870,548 ","$453,457,785 ","$1,002,412,763 ","$503,553,073 ","$334,888,953 ","$168,664,120 ","$6,641,879 ","$7,517,500 ","$18,114,549 ","$41,462,813 ","$160,157 ","$28,476,511 ","$18,354,014 ","$47,936,697 ","$66,982,172 ","$868,359 ","$6,800,273 ","$27,551,451 ","$24,984,156 ","$2,567,295 ","$31,762,089 ","$392,518,520 ","$339,665,753 ","$52,852,767 ","$5,184,272 ","$34,174,726 "
United States,2014,"$1,494,974,279 ","$465,100,023 ","$1,029,874,256 ","$522,014,225 ","$350,865,626 ","$171,148,599 ","$6,750,902 ","$7,893,243 ","$18,934,146 ","$42,797,391 ","$153,892 ","$28,224,793 ","$18,363,702 ","$48,030,530 ","$68,452,165 ","$794,715 ","$6,306,627 ","$28,174,446 ","$25,658,897 ","$2,515,549 ","$33,176,377 ","$397,558,401 ","$343,000,850 ","$54,557,551 ","$5,011,541 ","$36,837,924 "
United States,2015,"$1,563,701,447 ","$484,251,231 ","$1,079,450,216 ","$544,358,734 ","$368,048,849 ","$176,309,885 ","$7,041,803 ","$8,163,309 ","$19,913,450 ","$43,830,386 ","$150,246 ","$28,045,761 ","$18,169,536 ","$50,995,394 ","$70,204,638 ","$789,936 ","$5,790,618 ","$28,960,494 ","$26,342,681 ","$2,617,813 ","$34,663,590 ","$425,991,501 ","$368,861,923 ","$57,129,578 ","$4,880,864 ","$34,014,479 "
United States,2016,"$1,602,017,996 ","$504,592,720 ","$1,097,425,276 ","$559,624,992 ","$377,691,426 ","$181,933,566 ","$7,270,434 ","$8,384,750 ","$21,299,392 ","$45,177,554 ","$150,721 ","$27,514,198 ","$18,464,750 ","$53,671,767 ","$73,090,576 ","$831,080 ","$5,737,279 ","$30,160,628 ","$27,538,213 ","$2,622,415 ","$36,361,589 ","$428,890,927 ","$375,310,400 ","$53,580,527 ","$5,347,218 ","$30,471,563 "
United States,2017,"$1,652,829,219 ","$525,920,027 ","$1,126,909,192 ","$580,355,433 ","$389,018,755 ","$191,336,678 ","$7,296,727 ","$8,675,731 ","$21,901,090 ","$46,621,006 ","$156,888 ","$27,057,188 ","$19,032,046 ","$60,596,002 ","$72,101,114 ","$871,064 ","$5,918,847 ","$30,830,837 ","$28,239,742 ","$2,591,095 ","$34,480,366 ","$437,316,653 ","$384,577,729 ","$52,738,924 ","$4,943,979 ","$32,192,013 "
Alabama,1994,"$6,755,333 ","$825,731 ","$5,929,602 ","$3,503,340 ","$2,093,437 ","$1,409,903 ","$147,631 ",$91 ,"$166,346 ","$484,505 ","$5,180 ","$388,100 ","$83,185 ","$134,865 ","$403,908 ","$2,698 ","$94,207 ","$188,875 ","$174,998 ","$13,877 ","$118,128 ","$1,648,947 ","$1,430,816 ","$218,131 ","$30,176 ","$343,231 "
Alabama,1995,"$7,285,480 ","$918,764 ","$6,366,716 ","$3,692,798 ","$2,254,021 ","$1,438,777 ","$139,906 ",$107 ,"$153,661 ","$502,352 ","$4,693 ","$395,057 ","$85,660 ","$157,341 ","$499,474 ","$2,417 ","$125,569 ","$217,649 ","$201,215 ","$16,434 ","$153,839 ","$1,782,526 ","$1,546,247 ","$236,279 ","$34,705 ","$357,213 "
Alabama,1996,"$7,631,749 ","$998,569 ","$6,633,180 ","$3,904,971 ","$2,399,800 ","$1,505,171 ","$153,293 ",$105 ,"$159,955 ","$509,352 ","$4,506 ","$422,759 ","$87,423 ","$167,778 ","$443,932 ","$2,431 ","$111,172 ","$208,844 ","$190,826 ","$18,018 ","$121,485 ","$1,860,982 ","$1,643,366 ","$217,616 ","$32,407 ","$390,888 "
Alabama,1997,"$7,957,705 ","$1,034,931 ","$6,922,774 ","$4,037,322 ","$2,505,814 ","$1,531,508 ","$150,699 ",$81 ,"$155,989 ","$517,483 ","$4,272 ","$440,262 ","$85,850 ","$176,872 ","$444,643 ","$2,301 ","$109,504 ","$207,224 ","$191,111 ","$16,113 ","$125,614 ","$1,986,311 ","$1,759,695 ","$226,616 ","$44,511 ","$409,987 "
Alabama,1998,"$8,336,957 ","$1,083,600 ","$7,253,357 ","$4,219,926 ","$2,619,996 ","$1,599,930 ","$154,706 ",$101 ,"$171,553 ","$528,726 ","$4,158 ","$456,371 ","$86,942 ","$197,373 ","$456,841 ","$2,458 ","$119,034 ","$215,015 ","$199,065 ","$15,950 ","$120,334 ","$2,130,969 ","$1,887,166 ","$243,803 ","$35,594 ","$410,027 "
Alabama,1999,"$8,770,411 ","$1,191,792 ","$7,578,619 ","$4,386,097 ","$2,740,485 ","$1,645,612 ","$149,724 ",$94 ,"$188,428 ","$538,307 ","$3,823 ","$484,453 ","$83,014 ","$197,769 ","$474,513 ","$2,415 ","$122,617 ","$221,341 ","$204,719 ","$16,622 ","$128,140 ","$2,277,800 ","$2,044,776 ","$233,024 ","$62,784 ","$377,425 "
Alabama,2000,"$9,415,089 ","$1,340,152 ","$8,074,937 ","$4,586,268 ","$2,868,357 ","$1,717,911 ","$154,708 ",$113 ,"$190,750 ","$551,948 ","$3,723 ","$515,655 ","$80,567 ","$220,447 ","$563,009 ","$2,365 ","$179,169 ","$228,383 ","$212,559 ","$15,824 ","$153,092 ","$2,402,142 ","$2,159,043 ","$243,099 ","$66,763 ","$456,755 "
Alabama,2002,"$9,718,827 ","$1,473,554 ","$8,245,273 ","$4,799,669 ","$2,968,306 ","$1,831,363 ","$161,387 ",$125 ,"$219,773 ","$557,223 ","$3,594 ","$580,109 ","$79,062 ","$230,090 ","$418,644 ","$2,424 ","$72,080 ","$219,858 ","$206,970 ","$12,888 ","$124,282 ","$2,449,195 ","$2,126,559 ","$322,636 ","$82,970 ","$494,795 "
Alabama,2004,"$10,535,366 ","$1,661,855 ","$8,873,511 ","$5,217,009 ","$3,211,478 ","$2,005,531 ","$171,120 ",$97 ,"$245,577 ","$583,054 ","$3,226 ","$645,400 ","$110,423 ","$246,634 ","$422,671 ","$2,491 ","$73,183 ","$214,769 ","$198,057 ","$16,712 ","$132,228 ","$2,636,317 ","$2,344,266 ","$292,051 ","$29,467 ","$568,047 "
Alabama,2005,"$11,660,944 ","$1,792,390 ","$9,868,554 ","$5,706,782 ","$3,533,309 ","$2,173,473 ","$155,955 ",$438 ,"$272,681 ","$616,207 ","$3,280 ","$675,725 ","$175,946 ","$273,241 ","$871,994 ","$3,052 ","$80,654 ","$233,953 ","$218,945 ","$15,008 ","$554,335 ","$3,042,034 ","$2,644,726 ","$397,308 ","$14,462 ","$233,282 "
Alabama,2006,"$12,756,025 ","$1,913,562 ","$10,842,463 ","$6,130,105 ","$3,843,747 ","$2,286,358 ","$160,340 ",$338 ,"$273,432 ","$632,115 ","$3,313 ","$742,865 ","$184,313 ","$289,642 ","$968,320 ","$4,102 ","$88,112 ","$270,246 ","$255,755 ","$14,491 ","$605,860 ","$3,435,210 ","$2,876,442 ","$558,768 ","$1,865 ","$306,963 "
Alabama,2007,"$13,510,462 ","$2,083,481 ","$11,426,981 ","$6,404,700 ","$4,013,745 ","$2,390,955 ","$194,631 ",$615 ,"$276,814 ","$644,606 ","$3,160 ","$784,362 ","$180,838 ","$305,929 ","$1,039,156 ","$6,875 ","$98,831 ","$245,454 ","$229,291 ","$16,163 ","$687,996 ","$3,655,592 ","$3,149,706 ","$505,886 ",$844 ,"$326,689 "
Alabama,2008,"$14,022,119 ","$2,309,456 ","$11,712,663 ","$6,561,854 ","$4,136,495 ","$2,425,359 ","$203,905 ",$478 ,"$293,955 ","$621,694 ","$2,863 ","$820,513 ","$175,829 ","$306,122 ","$1,103,777 ","$7,878 ","$103,042 ","$251,688 ","$233,926 ","$17,762 ","$741,169 ","$3,712,976 ","$3,188,168 ","$524,808 ",$114 ,"$333,942 "
Alabama,2009,"$13,553,980 ","$2,571,251 ","$10,982,729 ","$6,356,730 ","$3,945,636 ","$2,411,094 ","$201,919 ",$734 ,"$269,808 ","$624,204 ","$2,677 ","$844,494 ","$165,007 ","$302,251 ","$1,050,393 ","$8,466 ","$109,384 ","$234,260 ","$218,635 ","$15,625 ","$698,283 ","$3,287,606 ","$2,793,634 ","$493,972 ",$0 ,"$288,000 "
Alabama,2010,"$13,566,076 ","$2,570,648 ","$10,995,428 ","$6,588,568 ","$3,961,421 ","$2,627,147 ","$199,033 ",$363 ,"$259,169 ","$634,653 ","$4,708 ","$863,708 ","$160,592 ","$504,921 ","$1,001,375 ","$7,198 ","$108,682 ","$241,401 ","$222,253 ","$19,148 ","$644,094 ","$3,152,304 ","$2,724,059 ","$428,245 ",$96 ,"$253,085 "
Alabama,2011,"$13,890,163 ","$2,579,837 ","$11,310,326 ","$6,707,067 ","$4,026,135 ","$2,680,932 ","$199,038 ",$90 ,"$271,835 ","$618,618 ","$4,583 ","$827,592 ","$164,406 ","$594,770 ","$1,024,878 ","$6,214 ","$109,434 ","$240,915 ","$219,914 ","$21,001 ","$668,315 ","$3,206,201 ","$2,905,023 ","$301,178 ",$82 ,"$372,098 "
Alabama,2012,"$14,257,627 ","$2,555,454 ","$11,702,173 ","$6,834,528 ","$4,156,282 ","$2,678,246 ","$211,553 ",$53 ,"$278,242 ","$624,981 ","$2,055 ","$812,667 ","$156,467 ","$592,228 ","$1,019,193 ","$9,103 ","$130,843 ","$242,942 ","$221,263 ","$21,679 ","$636,305 ","$3,534,439 ","$3,121,186 ","$413,253 ",$303 ,"$313,710 "
Alabama,2013,"$14,517,183 ","$2,550,048 ","$11,967,135 ","$6,974,772 ","$4,262,414 ","$2,712,358 ","$214,651 ",$93 ,"$297,958 ","$614,194 ","$1,823 ","$808,426 ","$153,323 ","$621,890 ","$998,322 ","$9,282 ","$136,786 ","$246,699 ","$225,668 ","$21,031 ","$605,555 ","$3,688,764 ","$3,306,562 ","$382,202 ",$18 ,"$305,259 "
Alabama,2014,"$14,520,766 ","$2,549,116 ","$11,971,650 ","$7,068,368 ","$4,323,729 ","$2,744,639 ","$220,847 ",$70 ,"$304,441 ","$615,997 ","$1,779 ","$806,127 ","$149,384 ","$645,994 ","$891,453 ","$9,683 ","$78,166 ","$232,327 ","$211,407 ","$20,920 ","$571,277 ","$3,718,026 ","$3,311,618 ","$406,408 ",$8 ,"$293,795 "
Alabama,2015,"$15,180,094 ","$2,579,687 ","$12,600,407 ","$7,334,615 ","$4,523,693 ","$2,810,922 ","$233,369 ",$18 ,"$312,030 ","$637,605 ","$1,782 ","$808,431 ","$149,475 ","$668,212 ","$1,024,485 ","$9,984 ","$156,398 ","$261,168 ","$234,826 ","$26,342 ","$596,935 ","$3,984,299 ","$3,450,713 ","$533,586 ",$0 ,"$257,008 "
Alabama,2016,"$16,025,150 ","$2,690,722 ","$13,334,428 ","$7,764,745 ","$4,836,747 ","$2,927,998 ","$260,832 ",$0 ,"$339,719 ","$660,470 ","$1,489 ","$765,497 ","$212,026 ","$687,965 ","$1,118,500 ","$9,712 ","$225,949 ","$275,840 ","$242,110 ","$33,730 ","$606,999 ","$4,217,774 ","$3,744,038 ","$473,736 ",$0 ,"$233,409 "
Alabama,2017,"$16,427,707 ","$2,836,712 ","$13,590,995 ","$8,059,631 ","$5,065,832 ","$2,993,799 ","$266,157 ",$16 ,"$339,719 ","$688,205 ","$1,280 ","$770,896 ","$217,962 ","$709,564 ","$1,087,372 ","$9,438 ","$173,265 ","$274,875 ","$241,145 ","$33,730 ","$629,794 ","$4,268,927 ","$3,748,814 ","$520,113 ",$0 ,"$175,065 "
Florida,1994,"$30,499,329 ","$11,000,181 ","$19,499,148 ","$15,543,843 ","$10,343,353 ","$5,200,490 ","$534,793 ",$397 ,"$378,461 ","$1,593,372 ","$93,376 ","$1,512,490 ","$438,864 ","$648,737 ","$1,331,096 ","$38,286 ","$117,592 ","$888,188 ","$792,441 ","$95,747 ","$287,030 ","$950,235 ",$0 ,"$950,235 ","$347,052 ","$1,326,922 "
Florida,1995,"$31,905,996 ","$11,444,852 ","$20,461,144 ","$16,502,115 ","$10,998,846 ","$5,503,269 ","$514,488 ",$398 ,"$419,306 ","$1,718,553 ","$86,740 ","$1,671,826 ","$451,514 ","$640,444 ","$1,330,183 ","$31,895 ","$121,887 ","$878,923 ","$782,288 ","$96,635 ","$297,478 ","$944,969 ",$0 ,"$944,969 ","$409,253 ","$1,274,624 "
Florida,1996,"$33,556,992 ","$11,812,880 ","$21,744,112 ","$17,578,490 ","$11,785,007 ","$5,793,483 ","$542,130 ",$599 ,"$482,053 ","$1,786,800 ","$81,638 ","$1,751,947 ","$458,234 ","$690,082 ","$1,374,907 ","$31,599 ","$123,420 ","$910,442 ","$816,555 ","$93,887 ","$309,446 ","$1,007,556 ",$0 ,"$1,007,556 ","$406,611 ","$1,376,548 "
Florida,1997,"$35,633,024 ","$12,330,138 ","$23,302,886 ","$18,598,006 ","$12,513,191 ","$6,084,815 ","$553,520 ",$0 ,"$392,053 ","$1,965,602 ","$64,907 ","$1,896,340 ","$442,224 ","$770,169 ","$1,401,941 ","$28,303 ","$121,853 ","$939,571 ","$840,795 ","$98,776 ","$312,214 ","$1,232,731 ",$0 ,"$1,232,731 ","$536,523 ","$1,533,685 "
Florida,1998,"$37,955,179 ","$13,130,599 ","$24,824,580 ","$19,702,272 ","$13,434,136 ","$6,268,136 ","$565,188 ",$0 ,"$376,212 ","$1,990,574 ","$60,061 ","$2,001,427 ","$467,050 ","$807,624 ","$1,476,375 ","$29,917 ","$120,796 ","$975,689 ","$864,632 ","$111,057 ","$349,973 ","$1,271,261 ",$0 ,"$1,271,261 ","$577,530 ","$1,797,142 "
Florida,1999,"$40,244,933 ","$13,900,952 ","$26,343,981 ","$20,855,173 ","$14,464,449 ","$6,390,724 ","$576,861 ",$0 ,"$336,337 ","$2,093,592 ","$50,777 ","$1,998,992 ","$453,901 ","$880,264 ","$1,536,086 ","$28,649 ","$126,455 ","$1,023,400 ","$910,358 ","$113,042 ","$357,582 ","$1,266,959 ",$0 ,"$1,266,959 ","$649,521 ","$2,036,242 "
Florida,2000,"$41,936,682 ","$14,098,490 ","$27,838,192 ","$22,264,430 ","$15,556,791 ","$6,707,639 ","$575,169 ",$0 ,"$355,677 ","$2,153,928 ","$49,394 ","$2,111,584 ","$442,512 ","$1,019,375 ","$1,533,227 ","$30,488 ","$120,967 ","$1,067,981 ","$955,275 ","$112,706 ","$313,791 ","$1,182,796 ",$0 ,"$1,182,796 ","$739,490 ","$2,118,249 "
Florida,2002,"$44,885,437 ","$15,799,202 ","$29,086,235 ","$22,936,417 ","$15,034,278 ","$7,902,139 ","$547,682 ",$0 ,"$414,369 ","$2,378,587 ","$29,822 ","$2,920,228 ","$466,464 ","$1,144,987 ","$1,573,652 ","$30,607 ","$128,147 ","$1,078,549 ","$957,233 ","$121,316 ","$336,349 ","$1,218,864 ",$0 ,"$1,218,864 ","$751,611 ","$2,605,691 "
Florida,2004,"$53,789,454 ","$18,500,291 ","$35,289,163 ","$27,407,756 ","$17,996,616 ","$9,411,140 ","$591,682 ",$0 ,"$711,145 ","$2,687,866 ","$26,747 ","$3,523,819 ","$449,360 ","$1,420,521 ","$1,785,036 ","$34,492 ","$161,423 ","$1,286,780 ","$1,135,006 ","$151,774 ","$302,341 ","$1,441,338 ",$0 ,"$1,441,338 ","$386,767 ","$4,268,266 "
Florida,2005,"$59,804,961 ","$20,391,910 ","$39,413,051 ","$29,724,155 ","$20,017,096 ","$9,707,059 ","$622,635 ",$0 ,"$764,559 ","$2,765,757 ","$29,077 ","$3,882,353 ","$465,772 ","$1,176,906 ","$3,204,767 ","$34,932 ","$176,414 ","$1,377,907 ","$1,210,458 ","$167,449 ","$1,615,514 ","$1,785,623 ",$0 ,"$1,785,623 ","$294,889 ","$4,403,617 "
Florida,2006,"$69,635,375 ","$23,134,925 ","$46,500,450 ","$35,203,247 ","$23,929,912 ","$11,273,335 ","$642,926 ",$0 ,"$879,079 ","$3,010,739 ","$33,889 ","$5,085,830 ","$456,794 ","$1,164,078 ","$3,607,122 ","$36,211 ","$191,716 ","$1,366,866 ","$1,191,111 ","$175,755 ","$2,012,329 ","$2,405,863 ",$0 ,"$2,405,863 ","$71,300 ","$5,212,918 "
Florida,2007,"$73,010,878 ","$26,873,781 ","$46,137,097 ","$35,694,673 ","$24,197,282 ","$11,497,391 ","$653,721 ",$731 ,"$807,804 ","$3,145,524 ","$30,102 ","$5,297,919 ","$454,017 ","$1,107,573 ","$3,909,582 ","$38,186 ","$199,916 ","$1,351,116 ","$1,178,473 ","$172,643 ","$2,320,364 ","$2,442,516 ",$0 ,"$2,442,516 ","$43,397 ","$4,046,929 "
